Order,Account,Created Date,Item
SO-0017160,CU 0101635,3/5/09,
,,,101001
,,,602010
,,,804015
,,,602020
,,,804011
,,,409106
,,,309007
,,,409110
,,,502001
,,,501001
,,,502006SM
,,,502006
,,,301001
,,,602008
,,,302002
,,,902005
,,,902006
,,,902007
,,,902008
,,,601002
SO-0017161,CU 0104150,3/5/09,
,,,501002
SO-0017162,CU 0100602,3/5/09,
,,,101001
,,,101001
,,,402002
,,,301001
,,,302002
,,,501001
,,,502001
,,,502006SM
,,,502006XL
,,,804004
,,,804003
,,,601002
,,,602010
,,,602018
,,,603001
,,,509002
,,,309004
,,,109002
,,,101135
SO-0017163,CU 0101680,3/5/09,
,,,601002
SO-0017164,CU 0102570,3/5/09,
,,,403001
,,,401001Y
SO-0017165,CU 0100574,3/5/09,
,,,902006
,,,109002
,,,101135
SO-0017166,CU 0104766,3/5/09,
,,,101001
SO-0017167,CU 0102781,3/6/09,
,,,501001
,,,309007
,,,109001
,,,109002
,,,101135
,,,509007
,,,101165
,,,604002
,,,409110
,,,804004
,,,902017
,,,903001
SO-0017168,CU 0104123,3/6/09,
,,,302001
,,,501001
,,,601015
,,,804026
,,,804010
SO-0017169,CU 0103326,3/6/09,
SO-0017170,CU 0104767,3/6/09,
,,,903001
,,,902017
,,,901003
,,,901005
SO-0017171,CU 0104157,3/6/09,
,,,501001
SO-0017172,CU 0102792,3/6/09,
,,,302002
,,,502005
,,,602020
,,,404002
SO-0017173,CU 0104640,3/6/09,
,,,502006XL
SO-0017174,CU 0104768,3/6/09,
,,,101001
,,,502001
,,,202002
,,,202003
,,,301001
,,,604002
,,,501002
,,,509002
,,,603001
,,,302002
,,,502006XL
,,,804010
,,,109001
,,,101135
,,,109002
,,,602010
,,,804011
,,,402002
,,,509003
,,,601004
SO-0017175,CU 0104769,3/6/09,
,,,101001
,,,603001
,,,202002
,,,202003
,,,302002
,,,501001
,,,602012
,,,804004
,,,602008
,,,601006
,,,601002
,,,201101
,,,601004
,,,804010
SO-0017176,CU 0100441,3/6/09,
,,,309003
,,,509002
,,,402003
SO-0017178,CU 0104319,3/6/09,
,,,401001Y
SO-0017179,CU 0100439,3/6/09,
,,,804004
SO-0017180,CU 0100439,3/6/09,
,,,403001
SO-0017182,CU 0103701,3/6/09,
,,,403001
SO-0017184,CU 0104693,3/6/09,
,,,403001
SO-0017185,CU 0104770,3/6/09,
,,,101001
,,,301001
,,,502001
,,,402001
,,,501001
,,,501002
,,,804003
,,,502006SM
,,,601007
,,,602020
,,,602012
,,,804026
,,,602016
,,,602018
,,,602009
,,,602010
,,,602008
,,,601002
,,,602019
,,,601006
,,,601003L
,,,601003R
,,,404001
,,,804015
,,,404002
,,,409110
,,,402002
,,,804011
,,,101208
,,,601014
,,,601015
,,,601012
,,,601005
,,,302002
,,,604002
,,,604001
,,,309003
,,,309002
,,,309001
,,,309008
,,,309004
,,,509003
,,,109001
,,,109002
,,,409106
,,,509002
,,,509007
,,,101135
,,,101164
,,,101165
,,,602021
,,,101137
SO-0017186,CU 0104663,3/6/09,
,,,403001
,,,401001Y
SO-0017187,CU 0104522,3/6/09,
,,,403001
,,,401001Y
SO-0017188,CU 0100505,3/6/09,
,,,309002
,,,509003
,,,109001
,,,109002
,,,101135
,,,601016
SO-0017189,CU 0104473,3/6/09,
,,,403001
SO-0017190,CU 0104408,3/6/09,
,,,403001
SO-0017191,CU 0103934,3/6/09,
,,,403001
SO-0017192,CU 0101213,3/6/09,
,,,601002
SO-0017194,CU 0104662,3/6/09,
,,,601005
SO-0017195,CU 0104677,3/9/09,
SO-0017196,CU 0100008,3/6/09,
SO-0017197,CU 0103045,3/6/09,
,,,404001
,,,502008
,,,804026
SO-0017198,CU 0103045,3/6/09,
,,,502008
SO-0017199,CU 0104772,3/6/09,
,,,902002
SO-0017200,CU 0101965,3/7/09,
,,,101208
,,,109001
,,,402001
SO-0017201,CU 0103219,3/7/09,
,,,501001
,,,302001
,,,804004
,,,804026
SO-0017202,CU 0100505,3/7/09,
,,,601015
,,,309007
,,,109001
SO-0017203,CU 0104773,3/7/09,
,,,902005
,,,902019
,,,903002
SO-0017204,CU 0103078,3/7/09,
,,,602020
,,,602012
,,,602010
SO-0017205,CU 0100649,3/7/09,
,,,404001
SO-0017206,CU 0104774,3/7/09,
,,,101001
,,,202003
,,,202001
,,,302001
,,,603001
,,,502005
,,,501001
,,,502001
,,,509002
,,,602008
,,,601004
,,,804010
,,,602020
SO-0017207,CU 0104453,3/8/09,
,,,502006XL
SO-0017208,CU 0101031,3/8/09,
,,,602019
SO-0017209,CU 0103103,3/8/09,
,,,109001
,,,401001Y
,,,501001
,,,402002
,,,602012
,,,602010
SO-0017210,CU 0104775,3/8/09,
,,,901001
SO-0017211,CU 0101049,3/9/09,
,,,501001
,,,509002
,,,409110
SO-0017212,CU 0101573,3/9/09,
,,,602010
,,,602021
,,,109001
,,,101137
,,,602022
,,,309003
SO-0017213,CU 0103127,3/9/09,
,,,401001Y
SO-0017214,CU 0101681,3/9/09,
,,,CS1000
,,,CS1001
,,,101001
,,,602022
SO-0017215,CU 0104771,3/9/09,
,,,501001
SO-0017216,CU 0102575,3/9/09,
,,,804006
SO-0017217,CU 0100649,3/9/09,
,,,403001
SO-0017218,CU 0102831,3/9/09,
,,,804004
SO-0017219,CU 0101695,3/9/09,
,,,501001
,,,109001
SO-0017220,CU 0100116,3/9/09,
,,,501001
,,,509002
SO-0017221,CU 0101190,3/9/09,
,,,CS1002
SO-0017222,CU 0103844,3/9/09,
,,,501001
,,,101137
,,,602018
SO-0017223,CU 0104752,3/9/09,
,,,403001
SO-0017224,CU 0103219,3/9/09,
,,,403001
,,,401001Y
SO-0017225,CU 0103280,3/9/09,
,,,601002
,,,602022
,,,601004
SO-0017226,CU 0104776,3/9/09,
,,,502006XL
SO-0017227,CU 0103591,3/9/09,
,,,502005
,,,101163
,,,903001
,,,601003L
,,,601012
SO-0017228,CU 0103980,3/9/09,
,,,602021
,,,804011
SO-0017229,CU 0103623,3/9/09,
,,,601018
,,,602010
,,,602008
,,,601003L
SO-0017230,CU 0104744,3/9/09,
,,,401001Y
SO-0017231,CU 0100494,3/9/09,
,,,602020
,,,604001
,,,309003
,,,309001
,,,603001
,,,601006
,,,602010
,,,602012
,,,601003L
,,,601002
,,,601004
,,,509002
,,,509003
,,,109001
,,,109002
,,,101135
,,,101208
,,,804011
SO-0017232,CU 0104570,3/9/09,
,,,403001
SO-0017233,CU 0103134,3/9/09,
,,,401001Y
SO-0017234,CU 0100378,3/9/09,
,,,401001Y
SO-0017235,CU 0104739,3/9/09,
,,,401001Y
,,,403001
SO-0017236,CU 0101607,3/9/09,
,,,509002
SO-0017237,CU 0104774,3/9/09,
,,,403001
,,,401001Y
SO-0017238,CU 0104010,3/9/09,
,,,602010
SO-0017239,CU 0101213,3/9/09,
,,,403001
SO-0017240,CU 0100764,3/9/09,
,,,409106
SO-0017241,CU 0104777,3/9/09,
,,,903002
,,,902017
SO-0017242,CU 0104735,3/9/09,
,,,403001
SO-0017243,CU 0104253,3/9/09,
,,,404001
SO-0017244,CU 0101095,3/9/09,
,,,404001
SO-0017245,CU 0102421,3/9/09,
,,,403001
SO-0017246,CU 0104774,3/9/09,
SO-0017247,CU 0103828,3/9/09,
,,,101001
,,,302001
,,,301001
,,,502001
,,,402001
,,,501001
,,,404001
,,,804013
,,,309001
,,,309003
,,,601003L
,,,601006
,,,601002
,,,602019
,,,604001
,,,602021
,,,101137
,,,804011
,,,402002
,,,602017
,,,409106
,,,309008
,,,309007
,,,101164
,,,109002
,,,101135
,,,109001
,,,509007
,,,509002
,,,804013
SO-0017248,CU 0101505,3/9/09,
,,,309002
SO-0017249,CU 0101114,3/9/09,
,,,502001
,,,502005
,,,501001
,,,602018
,,,302002
,,,301001
,,,109002
,,,101135
,,,601004
,,,804011
,,,804004
,,,804015
,,,804013
,,,509002
,,,502006XL
SO-0017250,CU 0103318,3/9/09,
,,,101163
,,,409106
,,,402002
SO-0017251,CU 0100084,3/9/09,
,,,403001
SO-0017252,CU 0103331,3/9/09,
,,,502006SM
SO-0017253,CU 0102394,3/9/09,
,,,401001Y
SO-0017254,CU 0100392,3/9/09,
,,,101001
,,,804011
,,,502001
,,,402002
,,,404002
,,,309003
,,,109002
,,,101135
,,,309002
,,,509007
,,,501001
,,,509002
,,,301001
,,,302002
,,,804015
,,,804013
,,,502006XL
SO-0017255,CU 0100200,3/9/09,
,,,109008
SO-0017256,CU 0100602,3/9/09,
,,,502006SM
,,,502006XL
,,,301001
,,,302002
SO-0017257,CU 0103761,3/9/09,
SO-0017258,CU 0104769,3/10/09,
,,,403001
SO-0017259,CU 0104770,3/10/09,
,,,401001Y
SO-0017260,CU 0102052,3/10/09,
,,,101001
,,,603001
,,,302001
,,,401001Y
SO-0017261,CU 0104751,3/10/09,
,,,403001
SO-0017262,CU 0101337,3/10/09,
,,,403001
,,,401001Y
SO-0017263,CU 0104778,3/10/09,
,,,101001
,,,603001
,,,202006
,,,601003L
,,,502001
,,,602009
,,,602020
,,,509007
SO-0017264,CU 0103999,3/10/09,
,,,403001
SO-0017265,CU 0100735,3/10/09,
,,,509002
SO-0017266,CU 0101270,3/10/09,
,,,509002
,,,109001
SO-0017267,CU 0104699,3/10/09,
,,,403001
SO-0017268,CU 0104779,3/10/09,
,,,101001
,,,502001
,,,502006SM
SO-0017269,CU 0104768,3/10/09,
,,,403001
SO-0017270,CU 0100392,3/10/09,
,,,403001
,,,401001Y
,,,602018
,,,509003
,,,804013
,,,109002
SO-0017271,CU 0101271,3/10/09,
,,,604001
SO-0017272,CU 0104087,3/10/09,
,,,602010
,,,601015
SO-0017273,CU 0103103,3/10/09,
,,,109001
,,,501001
,,,509002
,,,602012
,,,903002
,,,602010
SO-0017274,CU 0101778,3/10/09,
,,,509007
SO-0017275,CU 0102270,3/10/09,
,,,602019
,,,404002
SO-0017276,CU 0103698,3/10/09,
,,,401001Y
SO-0017277,CU 0103817,3/10/09,
SO-0017278,CU 0100392,3/10/09,
,,,502006XL
SO-0017279,CU 0103671,3/10/09,
,,,804011
,,,601002
,,,602010
,,,602019
,,,501001
,,,301001
,,,602012
,,,601003L
,,,602008
,,,601006
,,,601015
,,,601014
,,,409110
,,,101165
,,,901004
,,,901002
SO-0017280,CU 0103671,3/10/09,
,,,401001Y
SO-0017281,CU 0102055,3/10/09,
,,,502008
SO-0017282,CU 0100477,3/10/09,
,,,404002
,,,101135
,,,109002
,,,804004
,,,409110
SO-0017283,CU 0103231,3/10/09,
,,,401001Y
,,,401001Y
SO-0017284,CU 0104710,3/10/09,
,,,101135
,,,101137
,,,101165
,,,101208
,,,109001
,,,109002
,,,109008
,,,201001
,,,202002
,,,202003
,,,302001
,,,302002
,,,309001
,,,309002
,,,309003
,,,309007
,,,402001
,,,402002
,,,403001
,,,404001
,,,404002
,,,409001
,,,501001
,,,502005
,,,502006
,,,509002
,,,509003
,,,509007
,,,601002
,,,601003L
,,,601003R
,,,601004
,,,601006
,,,601012
,,,601014
,,,601015
,,,601016
,,,601017
,,,601018
,,,601019
,,,602008
,,,602010
,,,602012
,,,602016
,,,602017
,,,602019
,,,602020
,,,602021
,,,602022
,,,603001
,,,604001
,,,604002
,,,804004
,,,804006
,,,804010
,,,804011
,,,804012
,,,804013
,,,804015
,,,902001
,,,902002
,,,902004
,,,902005
,,,902006
,,,902007
,,,902008
,,,902011
,,,902014
,,,902015
,,,902017
,,,902018
,,,902020
,,,902021
,,,902022
,,,902023
,,,902027
,,,902034
,,,902035
,,,902036
,,,902041
,,,902042
,,,902043
,,,902044
,,,902050
,,,902051
,,,902052
,,,902053
,,,902054
SO-0017285,CU 0103773,3/10/09,
,,,409110
SO-0017286,CU 0104606,3/10/09,
,,,109001
,,,401001Y
,,,509002
,,,309003
,,,502006SM
SO-0017287,CU 0103773,3/10/09,
,,,403001
SO-0017288,CU 0102058,3/10/09,
,,,101164
SO-0017289,CU 0104503,3/10/09,
,,,903001
,,,903002
,,,901008
,,,509002
SO-0017290,CU 0104780,3/10/09,
,,,101106
SO-0017291,CU 0100713,3/10/09,
,,,502006XL
,,,502006SM
,,,502006
SO-0017292,CU 0104662,3/10/09,
,,,804004
SO-0017293,CU 0100024,3/10/09,
,,,401001Y
SO-0017294,CU 0101635,3/10/09,
,,,502006XL
SO-0017295,CU 0104741,3/10/09,
,,,403001
SO-0017296,CU 0100397,3/10/09,
,,,202006
SO-0017297,CU 0100273,3/10/09,
,,,602022
SO-0017298,CU 0102700,3/10/09,
,,,401001Y
,,,403001
SO-0017299,CU 0100235,3/10/09,
,,,502006XL
SO-0017300,CU 0104781,3/10/09,
,,,902006
,,,902006
,,,902006
SO-0017302,CU 0104782,3/10/09,
,,,902002
SO-0017303,CU 0103764,3/10/09,
,,,804013
SO-0017304,CU 0104783,3/10/09,
,,,101001
,,,603001
,,,404001
,,,502001
,,,502005
,,,602012
,,,302002
,,,804004
,,,602019
,,,501001
,,,509007
,,,301001
,,,804010
,,,601017
,,,602008
SO-0017305,CU 0103828,3/10/09,
,,,403001
,,,401001Y
SO-0017307,CU 0100706,3/10/09,
,,,101121
,,,140-0002
,,,101168
,,,101150
,,,109014
,,,109009
,,,109003
,,,140-000023
,,,140-000015
,,,140-0028
,,,109012
,,,309005
,,,109010
,,,140-0014
,,,109015
,,,109011
,,,101113
,,,101108
,,,101130
,,,101110
,,,101128
,,,101109
,,,101112
,,,302102
,,,302103
,,,101107
SO-0017308,CU 0100706,3/10/09,
,,,101121
,,,140-0002
,,,101168
,,,101150
,,,109014
,,,109009
,,,109003
,,,140-000023
,,,140-000015
,,,140-0028
,,,109012
,,,309005
,,,109010
,,,140-0014
,,,109015
,,,109011
,,,101113
,,,101108
,,,101130
,,,101110
,,,101128
,,,101109
,,,101112
,,,302102
,,,302103
,,,101107
SO-0017309,CU 0100706,3/10/09,
,,,101121
,,,140-0002
,,,101168
,,,101150
,,,109014
,,,109009
,,,109003
,,,140-000023
,,,140-000015
,,,140-0028
,,,109012
,,,309005
,,,109010
,,,140-0014
,,,109015
,,,109011
,,,101113
,,,101108
,,,101130
,,,101110
,,,101128
,,,101109
,,,101112
,,,302102
,,,302103
,,,101107
SO-0017310,CU 0100706,3/10/09,
,,,101121
,,,140-0002
,,,101168
,,,101150
,,,109014
,,,109009
,,,109003
,,,140-000023
,,,140-000015
,,,140-0028
,,,109012
,,,309005
,,,109010
,,,140-0014
,,,109015
,,,109011
,,,101113
,,,101108
,,,101130
,,,101110
,,,101128
,,,101109
,,,101112
,,,302102
,,,302103
,,,101107
SO-0017311,CU 0104784,3/10/09,
,,,101001
,,,603001
,,,302002
,,,403001
,,,401001Y
,,,804010
,,,502006XL
,,,501001
,,,509002
,,,502005
,,,502001
SO-0017312,CU 0100315,3/10/09,
,,,201101
SO-0017313,CU 0100791,3/10/09,
,,,602021
SO-0017314,CU 0104558,3/11/09,
,,,403001
SO-0017316,CU 0100349,3/11/09,
,,,502006XL
,,,604002
,,,602021
,,,101137
,,,601016
SO-0017317,CU 0104778,3/11/09,
SO-0017318,CU 0104786,3/11/09,
,,,101001
,,,603001
,,,302002
,,,301001
,,,502001
,,,402001
,,,401001Y
,,,501001
,,,502005
,,,804004
,,,602020
,,,804014
,,,309001
,,,309003
,,,601003L
,,,602012
,,,602008
,,,602010
,,,601006
,,,601002
,,,604001
,,,101208
,,,602021
,,,101137
,,,804011
,,,804010
,,,601004
,,,601008
SO-0017319,CU 0104787,3/11/09,
,,,902017
SO-0017320,CU 0102955,3/11/09,
,,,601002
,,,602019
SO-0017321,CU 0103587,3/11/09,
,,,401001Y
SO-0017322,CU 0101253,3/11/09,
,,,509003
,,,201101
SO-0017323,CU 0102792,3/11/09,
,,,401001Y
SO-0017324,CU 0104620,3/11/09,
,,,403001
SO-0017325,CU 0104788,3/11/09,
,,,409106
SO-0017326,CU 0104783,3/11/09,
,,,403001
,,,401001Y
SO-0017327,CU 0102348,3/11/09,
,,,109008
SO-0017329,CU 0103922,3/11/09,
,,,101001
SO-0017330,CU 0102623,3/11/09,
,,,302001
,,,403001
,,,502005
,,,602012
,,,601002
,,,101208
,,,101137
,,,804011
,,,603001
,,,501001
,,,101137
,,,109002
,,,101135
,,,502006
SO-0017331,CU 0100349,3/11/09,
,,,403001
SO-0017332,CU 0103441,3/11/09,
,,,509002
SO-0017333,CU 0100116,3/11/09,
SO-0017334,CU 0101414,3/11/09,
,,,401001Y
SO-0017336,CU 0101634,3/11/09,
,,,101163
SO-0017337,CU 0104778,3/11/09,
,,,403001
,,,401001Y
SO-0017338,CU 0104659,3/11/09,
,,,401001Y
,,,403001
SO-0017339,CU 0104568,3/11/09,
,,,602010
,,,601002
SO-0017340,CU 0101635,3/11/09,
,,,401001Y
,,,403001
SO-0017342,CU 0104789,3/11/09,
,,,101001
,,,603001
,,,202001
,,,302001
,,,502001
,,,502005
,,,501001
,,,301001
,,,101208
,,,804010
