SO 0000175,9975,9975,INLOT-00002163
SO 0000176,17500,17500,INLOT-00002165
SO 0000177,17500,17500,INLOT-00002166
SO 0000177,6500,6500,INLOT-00096494
SO 0000177,8500,8500,INLOT-00117089
SO 0000177,2950,2950,INLOT-00117090
SO 0000178,17500,17500,INLOT-00002168
SO 0000178,8500,8500,INLOT-00085355
SO 0000178,1700,1700,INLOT-00085356
SO 0000178,1450,1450,INLOT-00085357
SO 0000178,500,500,INLOT-00085358
SO 0000178,900,900,INLOT-00085359
SO 0000178,750,750,INLOT-00085360
SO 0000178,200,200,INLOT-00085411
SO 0000179,17500,17500,INLOT-00002169
SO 0000180,17500,17500,INLOT-00002170
SO 0000181,17500,17500,INLOT-00002171
SO 0000182,17500,17500,INLOT-00002172
SO 0000183,17500,17500,INLOT-00002173
SO 0000183,17500,17500,INLOT-00002174
SO 0000183,4950,4950,INLOT-00002175
SO 0000184,17500,17500,INLOT-00002176
SO 0000185,17500,17500,INLOT-00002177
SO 0000185,2950,2950,INLOT-00087181
SO 0000185,6500,6500,INLOT-00087182
SO 0000185,45,45,INLOT-00088831
SO 0000186,17500,17500,INLOT-00002178
SO 0000187,17500,17500,INLOT-00002179
SO 0000187,500,500,INLOT-00124261
SO 0000187,1450,2900,INLOT-00123800
SO 0000187,200,200,INLOT-00137091
SO 0000187,1250,1250,INLOT-00151642
SO 0000187,6500,6500,INLOT-00137093
SO 0000187,2500,2500,INLOT-00137094
SO 0000187,450,1800,INLOT-00137095
SO 0000187,900,3600,INLOT-00137096
SO 0000187,3500,3500,INLOT-00137097
SO 0000187,900,900,INLOT-00137098
SO 0000187,250,250,INLOT-00137099
SO 0000187,175,175,INLOT-00137100
SO 0000187,200,800,INLOT-00137111
SO 0000187,150,150,INLOT-00137112
SO 0000187,150,150,INLOT-00137113
SO 0000187,120,120,INLOT-00137114
SO 0000187,100,100,INLOT-00137115
SO 0000187,9,9,INLOT-00137116
SO 0000187,45,45,INLOT-00137117
SO 0000187,600,600,INLOT-00137118
SO 0000187,150,300,INLOT-00137119
SO 0000187,8500,8500,INLOT-00137120
SO 0000187,2950,2950,INLOT-00137121
SO 0000187,550,0,INLOT-00159807
SO 0000187,600,0,INLOT-00159808
SO 0000188,17500,17500,INLOT-00002180
SO 0000188,17500,17500,INLOT-00002181
SO 0000188,17500,17500,INLOT-00002182
SO 0000188,17500,17500,INLOT-00002183
SO 0000188,17500,17500,INLOT-00002184
SO 0000189,17500,17500,INLOT-00002185
SO 0000190,17500,17500,INLOT-00002187
SO 0000191,17500,17500,INLOT-00002188
SO 0000191,17500,17500,INLOT-00002189
SO 0000193,17500,17500,INLOT-00002193
SO 0000194,17500,17500,INLOT-00002194
SO 0000195,17500,17500,INLOT-00002196
SO 0000196,9,9,INLOT-00081828
SO 0000196,600,600,INLOT-00081829
SO 0000196,95,95,INLOT-00081830
SO 0000196,45,45,INLOT-00081871
SO 0000196,12,12,INLOT-00081872
SO 0000196,175,175,INLOT-00081873
SO 0000196,900,900,INLOT-00088432
SO 0000196,135,135,INLOT-00081874
SO 0000196,200,0,INLOT-00091707
SO 0000196,2950,2950,INLOT-00074435
SO 0000196,180,180,INLOT-00074437
SO 0000196,1250,1250,INLOT-00091706
SO 0000196,500,500,INLOT-00074438
SO 0000196,199,398,INLOT-00074439
SO 0000196,1700,1700,INLOT-00074436
SO 0000196,750,750,INLOT-00103931
SO 0000196,150,150,INLOT-00103932
SO 0000197,17500,17500,INLOT-00002198
SO 0000198,17500,17500,INLOT-00002199
SO 0000199,17500,17500,INLOT-00002200
SO 0000200,17500,17500,INLOT-00002201
